t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136312880,0.000,0.022,0.0000,-0.1305,0.0000,-0.0302,0.000,32.34,40.0,3,0
136313543,0.000,0.000,0.0000,0.0191,0.0000,0.0555,0.000,32.34,40.0,3,0
136314990,0.000,0.022,0.0000,0.0908,0.0000,0.0346,0.000,32.34,40.0,3,0
136315859,0.000,0.000,0.0000,-0.0603,0.0000,0.0181,0.000,32.34,40.0,3,0
136317186,0.000,0.022,0.0000,-0.0206,0.0000,0.0016,0.000,32.34,40.0,3,0
136317859,0.000,0.022,0.0000,-0.0252,0.0000,-0.0016,0.000,32.34,40.0,3,0
136318862,0.000,0.022,0.0000,0.0298,0.0000,-0.0522,0.000,32.34,40.0,3,0
136320187,0.000,0.000,0.0000,-0.1884,0.0000,-0.0170,0.000,32.34,40.0,3,0
136320860,0.000,0.022,0.0000,0.0282,0.0000,0.0247,0.000,32.34,40.0,3,0
136321859,0.000,0.022,0.0000,0.0603,0.0000,-0.0126,0.000,32.34,40.0,3,0
136322929,0.000,0.022,0.0000,-0.1076,0.0000,0.0412,0.000,32.34,40.0,3,0
136323870,0.000,0.000,0.0000,0.0160,0.0000,0.0049,0.000,32.34,40.0,3,0
136325261,0.000,0.000,0.0000,-0.0023,0.0000,-0.0489,0.000,32.34,40.0,3,0
136325873,0.000,0.000,0.0000,-0.0679,0.0000,0.0236,0.000,32.34,40.0,3,0
136326874,0.000,0.000,0.0000,-0.0313,0.0000,-0.0236,0.000,32.34,40.0,3,0
136327877,0.000,0.022,0.0000,0.0313,0.0000,0.0005,0.000,32.34,40.0,3,0
136328870,0.000,0.022,0.0000,0.0847,0.0000,0.0049,0.000,32.34,40.0,3,0
136330210,0.000,0.022,0.0000,0.0053,0.0000,0.0522,0.000,32.34,40.0,3,0
136330943,0.000,0.000,0.0000,-0.1122,0.0000,-0.0214,0.000,32.34,40.0,3,0
136331860,0.000,0.022,0.0000,0.0175,0.0000,0.0258,0.000,32.34,40.0,3,0
136333186,0.000,0.022,0.0000,0.0740,0.0000,-0.0368,0.000,32.34,40.0,3,0
136333543,0.000,0.022,0.0000,-0.0435,0.0000,-0.0236,0.000,32.34,40.0,3,0
136334922,0.000,0.000,0.0000,0.0175,0.0000,-0.0016,0.000,32.34,40.0,3,0
136335576,0.000,0.000,0.0000,-0.0252,0.0000,0.0225,0.000,32.34,40.0,3,0
136336898,0.000,0.022,0.0000,0.0069,0.0000,0.0423,0.000,32.34,40.0,3,0
