t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
14.623,351.777,351.821,0,-0.0481,0,-0.0181,-0.018,32.38,38
14.634,351.777,351.799,0,-0.0893,0,-0.0236,-0.018,32.38,38
14.67,351.777,351.821,0,-0.0923,0,0.0016,-0.018,32.38,38
14.681,351.777,351.821,0,-0.0664,0,-0.0126,-0.018,32.38,38
14.691,351.777,351.821,0,0.0206,0,-0.0093,-0.018,32.38,38
14.721,351.777,351.799,0,-0.0694,0,0.0291,-0.018,32.38,38
14.732,351.777,351.799,0,-0.1183,0,-0.0368,-0.018,32.38,38
14.742,351.777,351.821,0,-0.0282,0,-0.0049,-0.018,32.38,38
14.773,351.777,351.821,0,-0.042,0,-0.0203,-0.018,32.38,38
14.784,351.777,351.821,0,-0.0023,0,-0.0115,-0.018,32.38,38
14.793,351.777,351.821,0,0.0221,0,0.0478,-0.018,32.38,38
14.827,351.777,351.821,0,0.0084,0,-0.006,-0.018,32.38,38
14.838,351.777,351.821,0,0.0603,0,-0.0148,-0.018,32.38,38
14.874,351.777,351.821,0,0.0633,0,0.0379,-0.018,32.38,38
14.885,351.777,351.821,0,0.0328,0,0.0214,-0.018,32.38,38
14.923,351.777,351.821,0,-0.0526,0,-0.0159,-0.018,32.38,38
14.934,351.777,351.821,0,0.1457,0,0.0203,-0.018,32.38,38
14.944,351.777,351.821,0,0.0893,0,0.0093,-0.018,32.38,38
14.974,351.777,351.821,0,0.0145,0,-0.0093,-0.018,32.38,38
14.985,351.777,351.821,0,-0.0221,0,-0.0093,-0.018,32.38,38
14.996,351.777,351.821,0,0.1015,0,-0.0368,-0.018,32.38,38
15.026,351.777,351.799,0,-0.0771,0,0.0038,-0.018,32.38,38
15.037,351.777,351.821,0,0.0343,0,-0.0071,-0.018,32.38,38
15.047,351.777,351.821,0,-0.0206,0,0.0071,-0.018,32.38,38
15.077,351.777,351.799,0,-0.0557,0,-0.0214,-0.018,32.38,38
15.088,351.777,351.821,0,0.0145,0,0.0093,-0.018,32.38,38
15.098,351.777,351.821,0,-0.0923,0,-0.0126,-0.018,32.38,38
15.129,351.777,351.821,0,-0.0511,0,-0.0126,-0.018,32.38,38
15.14,351.777,351.821,0,-0.0145,0,0.028,-0.018,32.38,38
15.178,351.777,351.821,0,-0.0267,0,0.0005,-0.018,32.38,38
15.189,351.777,351.821,0,0.1198,0,-0.0038,-0.018,32.38,38
15.199,351.777,351.821,0,0.0481,0,0.0236,-0.018,32.38,38
15.23,351.777,351.821,0,0.045,0,-0.0126,-0.018,32.38,38
15.241,351.777,351.821,0,0.1244,0,-0.006,-0.018,32.38,38
15.251,351.777,351.821,0,-0.0114,0,-0.0181,-0.018,32.38,38
15.281,351.777,351.821,0,-0.0038,0,-0.0071,-0.018,32.38,38
15.292,351.777,351.821,0,-0.0343,0,-0.0412,-0.018,32.38,38
15.302,351.777,351.821,0,-0.1518,0,0.0203,-0.018,32.38,38
15.333,351.777,351.821,0,0.0496,0,-0.0357,-0.018,32.38,38
15.344,351.777,351.821,0,0.0679,0,-0.0357,-0.018,32.38,38
15.354,351.777,351.821,0,-0.0343,0,0.0522,-0.018,32.38,38
15.388,351.777,351.821,0,0.1015,0,0.0148,-0.018,32.38,38
15.399,351.777,351.821,0,-0.1396,0,0.0379,-0.018,32.38,38
15.435,351.777,351.821,0,0.0511,0,0.0115,-0.018,32.38,38
15.446,351.777,351.821,0,0.016,0,-0.0049,-0.018,32.38,38
15.456,351.777,351.821,0,0.0237,0,-0.0368,-0.018,32.38,38
15.486,351.777,351.821,0,0.0694,0,0.0049,-0.018,32.38,38
15.498,351.777,351.821,0,-0.161,0,-0.0247,-0.018,32.38,38
15.507,351.777,351.821,0,-0.0053,0,-0.0247,-0.018,32.38,38
15.537,351.777,351.821,0,-0.0023,0,0.0269,-0.018,32.38,38
15.548,351.777,351.799,0,-0.0786,0,-0.0159,-0.018,32.38,38
15.558,351.777,351.799,0,-0.1732,0,0.006,-0.018,32.38,38
15.588,351.777,351.821,0,0.0175,0,-0.0137,-0.018,32.38,38
15.599,351.777,351.821,0,0.0969,0,0.0214,-0.018,32.38,38
15.609,351.777,351.821,0,0.132,0,0.0027,-0.018,32.38,38
15.644,351.777,351.821,0,0.0206,0,0.0126,-0.018,32.38,38
15.655,351.777,351.821,0,0.0771,0,-0.0049,-0.018,32.38,38
15.69,351.777,351.821,0,-0.0847,0,0.0126,-0.018,32.38,38
15.701,351.777,351.821,0,0.0542,0,-0.0324,-0.018,32.38,38
15.711,351.777,351.821,0,-0.0923,0,0.0005,-0.018,32.38,38
15.741,351.777,351.821,0,0.074,0,0.0335,-0.018,32.38,38
15.752,351.777,351.821,0,0.0191,0,-0.0269,-0.018,32.38,38
15.762,351.777,351.821,0,-0.0053,0,0.0027,-0.018,32.38,38
15.782,351.777,351.821,0,0.0053,0,-0.0071,-0.018,32.38,38
15.785,351.777,351.821,0,0.0069,0,-0.0071,-0.018,32.38,38
15.792,351.777,351.821,0,-0.0069,0,0.0038,-0.018,32.38,38
15.802,351.777,351.821,0,0.0023,0,-0.0016,-0.018,32.38,38
15.812,351.777,351.821,0,0.0633,0,0.0148,-0.018,32.38,38
15.842,351.777,351.799,0,0.0557,0,-0.0115,-0.018,32.38,38
15.853,351.777,351.821,0,-0.0359,0,-0.0027,-0.018,32.38,38
15.863,351.777,351.821,0,0.1259,0,0.0181,-0.018,32.38,38
15.901,351.777,351.821,0,-0.0053,0,0.0126,-0.018,32.38,38
15.912,351.777,351.821,0,-0.016,0,0.0005,-0.018,32.38,38
15.947,351.777,351.821,0,-0.0282,0,-0.017,-0.018,32.38,38
15.958,351.777,351.821,0,0.0237,0,-0.0269,-0.018,32.38,38
15.991,351.777,351.821,0,0.0862,0,-0.006,-0.018,32.38,38
16.002,351.777,351.821,0,-0.0969,0,0.0236,-0.018,32.38,38
16.012,351.777,351.821,0,0.0069,0,-0.0071,-0.018,32.38,38
16.044,351.777,351.821,0,-0.0816,0,-0.0159,-0.018,32.38,38
16.055,351.777,351.799,0,-0.045,0,0.0049,-0.018,32.38,38
16.066,351.777,351.821,0,0.0496,0,0.0137,-0.018,32.38,38
16.096,351.777,351.821,0,-0.0267,0,-0.0005,-0.018,32.38,38
16.107,351.777,351.821,0,0.0038,0,-0.0423,-0.018,32.38,38
16.118,351.777,351.821,0,-0.0725,0,-0.0093,-0.018,32.38,38
