t_us,p_cmd,p_act,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
49336559,0.000,-0.110,0.0000,-0.0938,0.0000,0.0093,0.000,32.41,32.0,3,2048
49337613,0.000,-0.110,0.0000,-0.0572,0.0000,-0.0159,0.000,32.41,32.0,3,2048
49338883,0.000,-0.110,0.0000,0.1274,0.0000,0.0368,0.000,32.41,32.0,3,2048
49339576,0.000,-0.132,0.0000,0.0099,0.0000,0.0038,0.000,32.41,32.0,3,2048
49340560,0.000,-0.110,0.0000,0.0008,0.0000,-0.0137,0.000,32.41,32.0,3,2048
49341608,0.000,-0.110,0.0000,-0.0099,0.0000,0.0280,0.000,32.41,32.0,3,2048
49342559,0.000,-0.110,0.0000,-0.0420,0.0000,-0.0049,0.000,32.41,32.0,3,2048
49343897,0.000,-0.110,0.0000,0.0099,0.0000,-0.0192,0.000,32.41,32.0,3,2048
49344558,0.000,-0.132,0.0000,-0.0954,0.0000,-0.0159,0.000,32.41,32.0,3,2048
49345613,0.000,-0.110,0.0000,0.0084,0.0000,-0.0203,0.000,32.41,32.0,3,2048
49346559,0.000,-0.132,0.0000,-0.0343,0.0000,0.0379,0.000,32.41,32.0,3,2048
49347572,0.000,-0.110,0.0000,0.0572,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49348879,0.000,-0.110,0.0000,0.0969,0.0000,-0.0038,0.000,32.41,32.0,3,2048
49349682,0.000,-0.110,0.0000,-0.0481,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49350562,0.000,-0.110,0.0000,0.1198,0.0000,0.0280,0.000,32.41,32.0,3,2048
49351876,0.000,-0.110,0.0000,-0.0328,0.0000,0.0060,0.000,32.41,32.0,3,2048
49352556,0.000,-0.110,0.0000,-0.0206,0.0000,-0.0170,0.000,32.41,32.0,3,2048
49353880,0.000,-0.110,0.0000,-0.0175,0.0000,-0.0126,0.000,32.41,32.0,3,2048
49354620,0.000,-0.110,0.0000,-0.0084,0.0000,-0.0016,0.000,32.41,32.0,3,2048
49355912,0.000,-0.132,0.0000,-0.0938,0.0000,-0.0236,0.000,32.41,32.0,3,2048
49356628,0.000,-0.132,0.0000,-0.0832,0.0000,0.0137,0.000,32.41,32.0,3,2048
49357592,0.000,-0.110,0.0000,0.0450,0.0000,-0.0346,0.000,32.41,32.0,3,2048
49358905,0.000,-0.110,0.0000,0.0237,0.0000,0.0247,0.000,32.41,32.0,3,2048
49359588,0.000,-0.132,0.0000,-0.0603,0.0000,-0.0280,0.000,32.41,32.0,3,2048
49360661,0.000,-0.110,0.0000,0.0435,0.0000,0.0038,0.000,32.41,32.0,3,2048
49361557,0.000,-0.132,0.0000,-0.0572,0.0000,-0.0137,0.000,32.41,32.0,3,2048
49362555,0.000,-0.132,0.0000,0.0084,0.0000,-0.0027,0.000,32.41,32.0,3,2048
49363933,0.000,-0.110,0.0000,0.0816,0.0000,-0.0060,0.000,32.41,32.0,3,2048
49364588,0.000,-0.110,0.0000,0.0725,0.0000,0.0236,0.000,32.41,32.0,3,2048
49365589,0.000,-0.110,0.0000,0.0938,0.0000,-0.0269,0.000,32.41,32.0,3,2048
49366582,0.000,-0.110,0.0000,-0.0969,0.0000,0.0335,0.000,32.41,32.0,3,2048
49367582,0.000,-0.110,0.0000,-0.0282,0.0000,0.0181,0.000,32.41,32.0,3,2048
